date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
1,2021-01-01,1,1,January,1,2021,53,Friday,False
2,2021-01-02,2,1,January,1,2021,53,Saturday,True
3,2021-01-03,3,1,January,1,2021,53,Sunday,True
4,2021-01-04,4,1,January,1,2021,1,Monday,False
5,2021-01-05,5,1,January,1,2021,1,Tuesday,False
6,2021-01-06,6,1,January,1,2021,1,Wednesday,False
7,2021-01-07,7,1,January,1,2021,1,Thursday,False
8,2021-01-08,8,1,January,1,2021,1,Friday,False
9,2021-01-09,9,1,January,1,2021,1,Saturday,True
10,2021-01-10,10,1,January,1,2021,1,Sunday,True
11,2021-01-11,11,1,January,1,2021,2,Monday,False
12,2021-01-12,12,1,January,1,2021,2,Tuesday,False
13,2021-01-13,13,1,January,1,2021,2,Wednesday,False
14,2021-01-14,14,1,January,1,2021,2,Thursday,False
15,2021-01-15,15,1,January,1,2021,2,Friday,False
16,2021-01-16,16,1,January,1,2021,2,Saturday,True
17,2021-01-17,17,1,January,1,2021,2,Sunday,True
18,2021-01-18,18,1,January,1,2021,3,Monday,False
19,2021-01-19,19,1,January,1,2021,3,Tuesday,False
20,2021-01-20,20,1,January,1,2021,3,Wednesday,False
21,2021-01-21,21,1,January,1,2021,3,Thursday,False
22,2021-01-22,22,1,January,1,2021,3,Friday,False
23,2021-01-23,23,1,January,1,2021,3,Saturday,True
24,2021-01-24,24,1,January,1,2021,3,Sunday,True
25,2021-01-25,25,1,January,1,2021,4,Monday,False
26,2021-01-26,26,1,January,1,2021,4,Tuesday,False
27,2021-01-27,27,1,January,1,2021,4,Wednesday,False
28,2021-01-28,28,1,January,1,2021,4,Thursday,False
29,2021-01-29,29,1,January,1,2021,4,Friday,False
30,2021-01-30,30,1,January,1,2021,4,Saturday,True
31,2021-01-31,31,1,January,1,2021,4,Sunday,True
32,2021-02-01,1,2,February,1,2021,5,Monday,False
33,2021-02-02,2,2,February,1,2021,5,Tuesday,False
34,2021-02-03,3,2,February,1,2021,5,Wednesday,False
35,2021-02-04,4,2,February,1,2021,5,Thursday,False
36,2021-02-05,5,2,February,1,2021,5,Friday,False
37,2021-02-06,6,2,February,1,2021,5,Saturday,True
38,2021-02-07,7,2,February,1,2021,5,Sunday,True
39,2021-02-08,8,2,February,1,2021,6,Monday,False
40,2021-02-09,9,2,February,1,2021,6,Tuesday,False
41,2021-02-10,10,2,February,1,2021,6,Wednesday,False
42,2021-02-11,11,2,February,1,2021,6,Thursday,False
43,2021-02-12,12,2,February,1,2021,6,Friday,False
44,2021-02-13,13,2,February,1,2021,6,Saturday,True
45,2021-02-14,14,2,February,1,2021,6,Sunday,True
46,2021-02-15,15,2,February,1,2021,7,Monday,False
47,2021-02-16,16,2,February,1,2021,7,Tuesday,False
48,2021-02-17,17,2,February,1,2021,7,Wednesday,False
49,2021-02-18,18,2,February,1,2021,7,Thursday,False
50,2021-02-19,19,2,February,1,2021,7,Friday,False
51,2021-02-20,20,2,February,1,2021,7,Saturday,True
52,2021-02-21,21,2,February,1,2021,7,Sunday,True
53,2021-02-22,22,2,February,1,2021,8,Monday,False
54,2021-02-23,23,2,February,1,2021,8,Tuesday,False
55,2021-02-24,24,2,February,1,2021,8,Wednesday,False
56,2021-02-25,25,2,February,1,2021,8,Thursday,False
57,2021-02-26,26,2,February,1,2021,8,Friday,False
58,2021-02-27,27,2,February,1,2021,8,Saturday,True
59,2021-02-28,28,2,February,1,2021,8,Sunday,True
60,2021-03-01,1,3,March,1,2021,9,Monday,False
61,2021-03-02,2,3,March,1,2021,9,Tuesday,False
62,2021-03-03,3,3,March,1,2021,9,Wednesday,False
63,2021-03-04,4,3,March,1,2021,9,Thursday,False
64,2021-03-05,5,3,March,1,2021,9,Friday,False
65,2021-03-06,6,3,March,1,2021,9,Saturday,True
66,2021-03-07,7,3,March,1,2021,9,Sunday,True
